;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
ERCCmix2step19;5,72236713179517;5,88780556819159;5,30935284753211;5,68774294845335;5,27671908087599;5,49920650883161
ERCCmix2step2;5,16145554621653;5,32327884544919;5,4175273356912;7,13566451601313;6,11181467171395;6,82883375515215
ERCCmix2step20;6,54950225513381;6,70267799410891;5,71425508180539;6,21992510701032;5,62496758238556;6,20621457716737
ERCCmix2step21;5,87042972974801;5,79609818704775;4,4708166187716;5,51845502363349;4,55203539361862;4,59284611158192
ERCCmix2step22;6,36382795744076;6,3588361032091;4,72501735141303;4,59196268965934;3,7304676733497;3,68216228907593
ERCCmix2step23;7,69845265242409;7,80543168591965;4,98695910947374;4,41144593726652;4,71315326623557;5,24325244610597
ERCCmix2step24;7,74384853666905;7,71926009193502;5,47745706033425;4,39211396135129;3,95610289079339;4,24700259213229
ERCCmix2step25;7,06961408379512;7,16344400136935;5,27862882055281;5,49793926655329;4,80187364661824;5,62130228141923
ERCCmix2step26;8,49613913098787;8,25346060926868;6,92561381561375;6,79929668407406;6,44127039003891;6,66125821467527
ERCCmix2step27;7,90474982614003;7,93784206664731;5,9276712586911;5,44624539334256;3,9628627366104;5,23459641665017
ERCCmix2step28;8,81316097764116;8,67981152755496;7,24569928763177;7,01471270538525;6,26366444521477;6,13060470726515
ERCCmix2step29;8,66585058894082;8,29981786310501;6,03657470541742;6,43869709046451;5,57437930830851;6,04702344742533
ERCCmix2step3;5,17330244002337;5,01003428412696;5,68926445249703;6,58374701350485;5,9482739670902;6,33848506117057
ERCCmix2step30;9,99975314968019;10,1191465114115;7,95303831980183;4,79898611186205;5,6717303935537;5,513623762359
ERCCmix2step31;9,12424492523491;9,103701724458;6,90128064872309;6,2452351502947;6,34389595439875;6,93602536565905
ERCCmix2step32;11,0035807741522;11,0469798464488;9,18118575719311;6,29012750876218;7,46600764604902;6,92565554562983
ERCCmix2step33;10,9606494234305;10,9357947393482;9,10975471127997;7,21872239131089;7,43171179410534;7,35254871593777
